a	particle	oh!	expresses surprise; a, taawa ‘oh, there it is’; a, ima aviituq ‘oh, it's not there anymore’"
aa1	particle	darn!	pronounced with breathy voice to indicate exasperation
"aa2, aa-a"	particle	yes	an expression of approval or agreement; aanaqsiin? ‘are you going out?’ -- aa ‘yes’
aafkagh-	verb root	to burst	"aafkaghtuq ‘it burst’; aafkaghaa ‘he burst it’ / Maalghuk ighuk ugugnaghaam ighukek neghumakek. Taagken aghnam pimakanga, aqsanga kenegraamaan, ""Kaay aqsan aafkaghllequq."" ‘He ate two legs, hind-quarters of the shrew. Then the woman said to him, while poking at his stomach, “Hey, your stomach will burst.” (UNGIPAGHAGH. 80)"
aafkaneghlluk	noun root	durable material that will not burst	No information given.
aafqugh-	verb root	to set things aside; to divide things into groups	No information given.
aafte-	verb root	to separate from others	"aaftuq ‘he separated himself from the others’; aaftaa ‘he separated it from the others, took it from where it was, put it aside’ / aafutut ‘they separated from each other’; = afte-"
aag-	verb root	to take a side trip	"aagtuq ‘he made a side trip’; aagaa ‘he went over to it while on his way to somewhere else’ / aagvik ‘the place to which one makes a side trip’; Sangwaa taakwagun aagaqegkan, tuqutaqigu. ‘If something happens to come by  this way, kill it.’ (UNGAZ. UNGIP. 62)"
aaga-	verb root	to swing	"aagaaq ‘it swung’ / aagastaa ‘he made it swing’, ‘he pushed her on the swing’; Aagastaqa qevulliighaatekestaamaan aagalghiinaakun. ‘I began to push her on the swing a little more with each back and forth swinging motion.’ (SULUWET 16)"
aageste-	verb root	to prolong one's action for a long time; to moan long and mournfully	"aagestuq ‘he let out a long moan or kept his action going for a long time’ / qinuyulghii aagestaataghtuq unulqusiq elngaatall ‘the sick one let out long painful cries throughout the night’; mekelghiighhaq aagestaataghtuq qiyatkelluku ‘the little boy prolonged his wailing as he cried’; qepghallghegni aaghestaak yugem taawa ‘oh my, the man is keeping at his work for as long as he can’"
aaggaatae	noun root	whetstone; sharpening stone	No information given.
aaggagh-	verb root	to sharpen; to whet	No information given.
aaggnaqe-	verb root	to use sparingly; to economize	No information given.
aaghhaghte-	verb root	to move a little by force; to budge; to change one's mind; for there to be an earthquake	"aaghhaghtuq ‘it budged, he changed his mind’; aaghhaghtaa ‘he budged it, he changed her mind’ / nuna aaghhaghtuq ‘the ground moved, there was an earthquake’; nguutnguga alangqughiitama aaghhaghluku ilefkaghaghsimaaqa ‘I made the stone in my ring come loose and fall out’; aaghhaghsaghqaghhaanghilnguq yuuk qenwatlu taawa malikruutesimaat ‘they finally persuaded that very stubborn man to go along with their ideas’"
aaghhe-	verb root	"to move freely (as a rope being pulled, or a person's behavior); to slacken"	aaghhuq ‘it (rope) is running free; he (person) is not being restrained nor restraining himself’ / aaghhestaa ‘he is letting it run free’; aaghhestaa uyiiq aghveq awatmun igleghsan ‘he let the whale rope flow out as the whale moved away’; aaghhuq yuuk taana qepghaqamini avelghaqiinaghluki ilani piyukellghinaghmitun ‘that man is getting away with doing whatever he wishes with complete disregard for his co-workers’; aaghhestaat taana taghnughhaq elngaatall ‘they certainly are giving that child free rein’
aaghheghneq	noun root	person that can easily be persuaded	No information given.
